Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1981-05-08,0.09582295268774033,0.0962507092486975,0.09582295268774033,0.09582295268774033,7907200
1981-05-11,0.09368419647216797,0.09411194736480129,0.09368419647216797,0.09411194736480129,11939200
1981-05-12,0.09368419647216797,0.09496745486156152,0.09368419647216797,0.09368419647216797,4256000
1981-05-13,0.09325645118951797,0.09453971544619542,0.09325645118951797,0.09368420784557524,4905600
1981-05-14,0.0919731855392456,0.09282869307377635,0.0919731855392456,0.09282869307377635,4928000
1981-05-15,0.09411192685365677,0.0953951906748641,0.09411192685365677,0.09411192685365677,4905600
1981-05-18,0.09582295268774033,0.09667845438666856,0.09582295268774033,0.09582295268774033,4166400
1981-05-19,0.09411192685365677,0.09453968336455668,0.09411192685365677,0.09453968336455668,25424000
1981-05-20,0.0971062034368515,0.09796171649259534,0.0971062034368515,0.0971062034368515,13283200
1981-05-21,0.10266780853271484,0.10309556522375389,0.10266780853271484,0.10266780853271484,32211200
1981-05-22,0.10737307369709015,0.1082285868866049,0.10737307369709015,0.10737307369709015,31427200
1981-05-26,0.10694538801908493,0.10737313342881025,0.10694538801908493,0.10737313342881025,85344000
1981-05-27,0.11293385922908783,0.11336161576350422,0.11293385922908784,0.11293385922908784,149497600
1981-05-28,0.11293385922908783,0.11336161576350422,0.11293385922908784,0.11293385922908784,73987200
1981-05-29,0.11336158961057663,0.11379011138615355,0.11336158961057663,0.11336158961057663,59382400
1981-06-01,0.11336158961057663,0.11379011138615355,0.11336158961057663,0.11336158961057663,51251200
1981-06-02,0.10780084878206253,0.10822860545018957,0.10780084878206253,0.10822860545018957,40432000
1981-06-03,0.10780084878206253,0.10865635069532766,0.10780084878206253,0.10780084878206253,39446400
1981-06-04,0.10993961989879608,0.11036736514081803,0.1099396198987961,0.1099396198987961,56067200
1981-06-05,0.10822860896587372,0.10865635422490662,0.10822860896587372,0.10865635422490662,57680000
1981-06-08,0.10437877476215363,0.10480653125192703,0.10437877476215363,0.10480653125192703,93497600
1981-06-09,0.10651759058237076,0.10694534725203066,0.10651759058237076,0.10651759058237076,119593600
1981-06-10,0.10780084878206253,0.1090841073634547,0.10780084878206253,0.10780084878206253,25222400
1981-06-11,0.11250613629817963,0.11293389296035904,0.11250613629817963,0.11250613629817963,38976000
1981-06-12,0.11122287064790726,0.11165062728283155,0.11122287064790726,0.11165062728283155,25804800
1981-06-15,0.11079509556293488,0.11122285212662741,0.11079509556293488,0.11122285212662741,143763200
1981-06-16,0.10865630954504013,0.10908406605116736,0.10865630954504013,0.10908406605116736,37251200
1981-06-17,0.10694538801908493,0.10737313342881025,0.10694538801908493,0.10737313342881025,27574400
1981-06-18,0.10651759058237076,0.10737309249870153,0.10651759058237076,0.10694534725203066,23049600
